pair,status,accepted,reject_reason,quality_flag,pair_zncc_in,pair_zncc_out,pair_zncc_delta,median_cell_in,median_cell_out,delta_median,delta_p05,improved_count,worse_count,net_improved,repaired_clusters,baseline_weak_clusters
974-972,rebuilt,False,quality_flag,True,0.09275737176812338,0.0944986265516121,0.0017412547834887299,0.008874723419350031,0.011029667617394656,0.0006259128291691424,-0.07450481303835155,1273,1214,59,258,314
826-822,rebuilt,False,quality_flag,True,0.0001333509724602807,-0.02201570717414494,-0.02214905814660522,0.008346277491835911,0.0026225092890492362,-0.007044975093692955,-0.13722935055734228,1066,1296,-230,250,282
1285-1282,rebuilt,False,quality_flag,True,0.1533248434467195,0.19121051807387038,0.03788567462715087,0.04129191460022426,0.07575450285127652,0.029225213239601283,-0.029719801704407425,1877,549,1328,194,203
745-742,rebuilt,True,,False,0.17288259873045414,0.1755225124262652,0.002639913695811069,0.21312606799842365,0.22301474432934681,0.003857312551605291,-0.02086924447022561,1555,924,631,181,239
1428-1427,rebuilt,False,quality_flag,True,0.14138103305332547,0.07671799601461234,-0.06466303703871314,0.009124776392533946,0.000891765796432156,-0.012227215163710363,-0.4073153721550386,672,996,-324,151,182
917-916,rebuilt,True,,False,0.1505321713884989,0.1590394211732697,0.008507249784770798,0.392887111882833,0.40343442129202034,0.004467596918423911,-0.052559716712017326,1407,1043,364,144,201
1124-1122,rebuilt,True,,False,0.14758256539994924,0.14478528241348315,-0.0027972829864660875,0.12550420400684004,0.12238007419062556,-0.001569679733787313,-0.0365894293171137,1070,1357,-287,138,246
1144-1142,rebuilt,True,,False,0.10177629336980613,0.10239965837202246,0.0006233650022163251,0.13124459609652955,0.12953630871874114,0.0003069257009536419,-0.01851060622332903,1281,1214,67,136,223
1151-1149,rebuilt,True,,False,0.16925088527293722,0.16974210027864883,0.0004912150057116149,0.19972601432331813,0.20139920142703635,0.00023359306680398317,-0.01259034225717493,1248,1175,73,130,231
792-791,rebuilt,False,pair_zncc_regression,False,0.07726497861480457,0.029553017252075604,-0.04771196136272896,0.04936815021404523,0.011905677552465303,-0.02752309788934743,-0.41393774774617237,733,1334,-601,120,158
1205-1202,rebuilt,True,,False,0.16693815309374235,0.16874816527040115,0.0018100121766587984,0.09568678699383024,0.09669007308732717,0.00011517782579524398,-0.02351541903125875,1268,1227,41,117,198
1139-1136,rebuilt,True,,False,0.12988302402330965,0.1302329820888558,0.00034995806554616316,0.12661899052740094,0.12301102510154108,-0.001021208230117976,-0.02934841193390994,1097,1305,-208,115,226
893-892,rebuilt,True,,False,0.15795188669041887,0.15991904961352738,0.001967162923108501,0.24731171790594625,0.2521944650197204,0.0029106526425185797,-0.04968448279696048,1396,1020,376,106,165
1133-1130,rebuilt,True,,False,0.15405895389904584,0.15402088175212275,-3.8072146923084915e-05,0.10929971807929326,0.10579059351904226,-0.0018260161571828984,-0.03005446590118784,1052,1420,-368,106,230
895-893,rebuilt,True,,False,0.0762679901777728,0.07432006474688271,-0.0019479254308900906,0.16466111653152182,0.15714243957079732,-0.0022655299404269746,-0.08028339592795387,999,1444,-445,101,206
1132-1130,rebuilt,True,,False,0.015479269898009691,0.017264793582458412,0.0017855236844487206,0.17169714976149494,0.17325268716283151,0.0013419252641435342,-0.023379355966051195,1338,1023,315,98,145
1104-1102,rebuilt,False,quality_flag,True,0.12984042216718486,0.10989965245741355,-0.019940769709771308,0.11341206417218362,0.0829282053663535,-0.0175777975786005,-0.11729831541936807,615,1835,-1220,98,245
1154-1153,rebuilt,True,,False,0.17077202519758486,0.17508409113599457,0.004312065938409715,0.23531106119481113,0.24136246861952262,0.003257319776281048,-0.04046114422729217,1356,1026,330,91,139
1069-1068,rebuilt,True,,False,0.14733468871451877,0.1492732386402735,0.0019385499257547345,0.4136153578481684,0.41281495489631226,-0.0007251168306397493,-0.05757793268280363,1184,1254,-70,90,150
954-953,rebuilt,True,,False,0.10151991876526291,0.10619425380739447,0.004674335042131564,0.24519755846588936,0.26174903542080274,0.006050375806971819,-0.06711552989497391,1364,946,418,87,120
953-952,rebuilt,True,,False,0.13887003590079408,0.1399574631353124,0.0010874272345183233,0.20526994473879878,0.214771879636535,0.003974092991714029,-0.08965376847241156,1401,1085,316,86,118
864-862,rebuilt,False,quality_flag,True,0.14472536333156244,0.10482789041325989,-0.03989747291830255,0.11946017533137249,0.056198816432228176,-0.043892822704730106,-0.18075858937039974,470,2057,-1587,76,236
943-941,rebuilt,True,,False,0.16450268375661942,0.16092740929628674,-0.003575274460332678,0.1670315762064289,0.16087403278764903,-0.002540985779071886,-0.07917887650581676,980,1555,-575,75,187
1175-1174,rebuilt,True,,False,0.1256536419118977,0.1251292813618218,-0.000524360550075903,0.35177809739033156,0.3502278639788243,-0.0007604947035744214,-0.008554884981636401,1022,1431,-409,72,169
1004-1003,rebuilt,True,,False,0.1703894097573393,0.1717504730707055,0.0013610633133662176,0.3710413230600776,0.3720452610047954,-0.00044693153738736835,-0.047887695216266714,1210,1294,-84,66,116
1074-1073,rebuilt,True,,False,0.1707556054806815,0.16634802419045608,-0.004407581290225421,0.4019588546328108,0.38958636030242355,-0.009248202646335857,-0.08231280323674131,919,1585,-666,55,131
850-849,rebuilt,True,,False,0.15407553153384615,0.18816515223080366,0.03408962069695751,0.26706814700643056,0.3633112513127601,0.02754510508205532,-0.05559027664602403,1506,617,889,40,47
908-907,rebuilt,True,,False,0.162297601707651,0.23649911366817858,0.07420151196052757,0.35053522885977284,0.4361544344779,0.056089221938620426,-0.05617025322089142,1854,598,1256,38,38
1034-1032,rebuilt,True,,False,0.1641849411804208,0.1685247170804328,0.0043397759000119995,0.32067040898708027,0.3311144544691515,0.0018276698516008771,-0.09286958654260924,1143,974,169,31,49
975-974,rebuilt,False,pair_zncc_regression,False,0.09335365957853049,0.04010840376789158,-0.053245255810638915,0.3825576729677037,0.0918089684427619,-0.008624241404462274,-0.47487505056573115,787,1141,-354,7,27
1240-1239,missing,,,,,,,,,,,,,,,
22-23,missing,,,,,,,,,,,,,,,
16-17,missing,,,,,,,,,,,,,,,
1214-1212,refine_failed,,,,,,,,,,,,,,,
1044-1042,refine_failed,,,,,,,,,,,,,,,
229-230,missing,,,,,,,,,,,,,,,
15-16,missing,,,,,,,,,,,,,,,
705-702,missing,,,,,,,,,,,,,,,
680-679,missing,,,,,,,,,,,,,,,
1-2,missing,,,,,,,,,,,,,,,
731-730,refine_failed,,,,,,,,,,,,,,,
191-193,missing,,,,,,,,,,,,,,,
60-64,missing,,,,,,,,,,,,,,,
706-705,missing,,,,,,,,,,,,,,,
513-514,missing,,,,,,,,,,,,,,,
302-306,missing,,,,,,,,,,,,,,,
259-260,missing,,,,,,,,,,,,,,,
279-280,missing,,,,,,,,,,,,,,,
219-220,missing,,,,,,,,,,,,,,,
730-729,missing,,,,,,,,,,,,,,,
