rank,pair,schedule,accepted,reject_reason,repaired_clusters,net_improved,delta_p05,delta_median,pair_zncc_in,pair_zncc_out,pair_zncc_delta,wall_s
1,191-193,fine128,True,,340,3108,0.020012748690301972,0.34518687748002047,0.15025182504548293,0.46758236366445705,0.3173305386189741,204.94274920300086
2,705-702,dense256,True,,262,1108,-0.071398525290736,0.04675543164485246,0.06463553193728651,0.13284713665054856,0.06821160471326206,58.969911491003586
3,302-306,dense256,True,,215,1896,-0.04832652167663752,0.13084375633398604,0.16395781960762876,0.2830623512281145,0.11910453162048576,68.12950097599969
4,745-742,dense256,True,,196,1206,-0.012192085929371127,0.006937866549901847,0.17288259873045414,0.17897572930836272,0.006093130577908584,39.91766214699601
5,917-916,fine128,True,,191,2013,-0.004425373893484571,0.029953564977140912,0.1505321713884989,0.1661015834091696,0.01556941202067072,623.9919029970042
6,1285-1282,dense256,True,,189,1435,-0.030846165739718174,0.03307386641194085,0.1533248434467195,0.19339895109929717,0.040074107652577656,32.40434967799956
7,1-2,fine128,True,,167,1895,0.059702884687659885,0.6484980670411365,0.1250062766962831,0.6877013754535279,0.5626950987572449,187.67702529099915
8,1151-1149,dense256,True,,166,557,-0.010026179167990089,0.001570520585154854,0.16925088527293722,0.17017533770773643,0.0009244524347992167,327.2063369030002
9,893-892,fine128,True,,160,1916,-0.007208660023043489,0.027943873095722105,0.15795188669041887,0.17143116356239596,0.013479276871977086,505.22498575699865
10,895-893,dense256,True,,154,632,-0.01901639544949633,0.0029408503546086984,0.0762679901777728,0.07776502808882825,0.001497037911055446,232.65586098600033
11,1124-1122,dense256,True,,151,137,-0.025341480873510028,0.0006170771105824813,0.14758256539994924,0.1464010620547327,-0.0011815033452165502,33.51061213500361
12,1428-1427,fine128,True,,147,361,-0.09036858099920891,0.013097319343757807,0.14138103305332547,0.18685046908298097,0.0454694360296555,95.15137684100046
13,1175-1174,fine128,True,,143,884,-0.0069279281094358535,0.0028176420919666656,0.1256536419118977,0.1260929146961987,0.0004392727843010036,245.97617265699955
14,1144-1142,dense256,True,,143,310,-0.015888255733734882,0.001100601915440022,0.10177629336980613,0.10317643517122094,0.0014001418014148032,89.4219888650041
15,706-705,fine128,True,,142,2320,0.023916059021261583,0.3809377823973485,0.1540715290668569,0.3863522029658891,0.23228067389903223,305.7547417270034
16,1069-1068,fine128,True,,141,1792,-0.007897263159934253,0.022747074321800176,0.14733468871451877,0.16467475995063288,0.017340071236114113,554.3148738180025
17,680-679,fine128,True,,140,2083,-0.0018139350241597545,0.03261861186071491,0.09833068550359798,0.1151894776455957,0.016858792141997717,729.7539206660003
18,1133-1130,dense256,True,,135,21,-0.02472916643512923,9.997516534252654e-05,0.15405895389904584,0.15410818097288953,4.922707384369396e-05,41.906878677997156
19,1139-1136,dense256,True,,134,90,-0.01734031005717614,0.0003563262941085124,0.12988302402330965,0.13101041239127223,0.001127388367962584,29.397609173996898
20,792-791,fine128,True,,132,624,-0.10584142651128303,0.016223000704213862,0.07726497861480457,0.09042277747270705,0.013157798857902483,264.4249966770003
21,513-514,fine128,True,,129,2085,0.1102440383393957,0.4070886536459172,0.16065892718527242,0.39978481024959645,0.23912588306432403,295.89965399200446
22,1104-1102,dense256,True,,127,-696,-0.06550290432738999,-0.00684895024098571,0.12984042216718486,0.12216312795115337,-0.0076772942160314855,37.427457311998296
23,1154-1153,fine128,True,,124,1382,-0.015602584389211901,0.02064781165130855,0.17077202519758486,0.18339443774898734,0.012622412551402479,395.2311139040103
24,864-862,dense256,True,,124,-814,-0.11414078592534736,-0.012127411546472448,0.14472536333156244,0.13180436172060267,-0.01292100161095977,33.64029292500345
25,730-729,fine128,True,,122,2156,-0.0018300362235873055,0.05736978293781733,0.17384633307313005,0.2061851742737262,0.03233884120059616,686.2798165540007
26,60-64,fine128,True,,119,1858,-0.04277240217680778,0.34931851054721763,0.15250751887317937,0.5012830531482,0.3487755342750206,91.54614689200389
27,1074-1073,fine128,True,,119,1854,-0.007268616991881552,0.01804934256606186,0.1707556054806815,0.18199200520636347,0.011236399725681967,481.37581600400154
28,954-953,fine128,True,,116,1803,-0.009073758988942459,0.04425101649214311,0.10151991876526291,0.11673386023565646,0.015213941470393552,650.8397730970028
29,953-952,fine128,True,,112,1901,-0.007396573021740604,0.03203001734452543,0.13887003590079408,0.15824250770034845,0.01937247179955437,293.4652646820032
30,943-941,dense256,True,,111,227,-0.025525040449647648,0.0010440106146069605,0.16450268375661942,0.1651893178523126,0.0006866340956931949,44.979027285000484
31,1205-1202,dense256,True,,111,-209,-0.0327020641142307,-0.0011250409498092528,0.16693815309374235,0.16545761156238997,-0.0014805415313523806,112.62653555100405
32,259-260,dense256,True,,105,1616,0.02267690757130998,0.2879813382651937,0.16428416746030608,0.4178960262500893,0.2536118587897832,31.063178434000292
33,1132-1130,dense256,True,,104,524,-0.01916324937887344,0.0026696020383430996,0.015479269898009691,0.016474967900889932,0.000995698002880241,173.39929436900275
34,1004-1003,fine128,True,,99,1800,-0.005573756058248791,0.011808110556892293,0.1703894097573393,0.1807962611726065,0.010406851415267204,369.7175283450051
35,731-730,fine128,True,,83,1132,-0.11751182045881883,0.02914825670110323,0.14158569267816307,0.1546817157805149,0.013096023102351834,288.39463239300676
36,850-849,fine128,True,,46,1728,-0.010091866667086873,0.06608313477079297,0.15407553153384615,0.20721934190777067,0.053143810373924516,238.80969695200474
37,908-907,fine128,True,,38,2111,-0.002555736748397791,0.09893264527239631,0.162297601707651,0.26002606621192575,0.09772846450427475,499.56934361500316
38,1034-1032,fine128,True,,31,782,-0.07855536891187428,0.01588593234181737,0.1641849411804208,0.1908438497315344,0.026658908551113608,271.3077168079981
39,975-974,fine128,True,,24,1381,-0.011916511509238857,0.02915403686539267,0.09335365957853049,0.1228907225709923,0.02953706299246181,614.5406654649996
40,219-220,fine128,False,quality_flag,319,-57,-0.2577818895062236,-0.002419407373291896,0.16677485122303135,0.15470553720090602,-0.012069314022125327,62.98058749500342
41,974-972,fine128,False,quality_flag,265,-337,-0.1068914786870955,-0.008903133078057296,0.09275737176812338,0.07204970501285814,-0.02070766675526524,69.91996145099984
42,279-280,fine128,False,quality_flag,258,1284,-0.09173267640002561,0.0747687831183845,0.1655102776705709,0.2754470032245651,0.10993672555399422,80.31246238599851
43,826-822,fine128,False,quality_flag,256,462,-0.09268544481315572,0.01474554660200524,0.0001333509724602807,0.019546484650293502,0.019413133677833223,44.54662029800238
44,15-16,fine128,False,quality_flag,224,-88,-0.40820497680457907,-0.009867703962588171,0.049900680793235924,0.033178475154675535,-0.01672220563856039,53.31718484599696
45,229-230,fine128,False,quality_flag,200,54,-0.08310785235149382,0.0009432638551503461,0.028154747422011215,0.030376518953890312,0.002221771531879097,51.7554633740001
46,1044-1042,dense256,False,quality_flag,142,71,-0.007031415268977086,8.655932215342887e-06,0.015378291050438165,0.015390723297431928,1.2432246993763704e-05,619.7224805029982
47,16-17,fine128,False,quality_flag,138,-9,-0.421063695777893,-0.0014301293752512767,0.004804302123553099,0.0032828538124455523,-0.0015214483111075467,27.390079144999618
48,1240-1239,fine128,False,quality_flag,136,-54,-0.01307084927141699,-0.00013006949239016577,0.0010802333480728048,0.001721314921773808,0.0006410815737010031,87.73610481299693
49,22-23,fine128,False,quality_flag,117,-89,-0.3188692297966253,-0.022427866039518976,0.002621524858463039,-0.004610232874520981,-0.007231757732984021,44.81548501000361
50,1214-1212,dense256,False,quality_flag,54,-29,-0.00021991258822981474,-5.661895341908807e-07,0.014290121026146135,0.01429371435213141,3.593325985274884e-06,288.9849313079976
