pair,schedule,accepted,reject_reason,quality_flag,pair_zncc_in,pair_zncc_out,pair_zncc_delta,improved_count,worse_count,net_improved,delta_median,delta_p05,repaired_clusters,baseline_weak_clusters,wall_s,error
826-822,dense256,False,quality_flag,True,0.0001333509724602807,-0.027369529765483753,-0.027502880737944033,1030,1319,-289,-0.009941281309002088,-0.1375546925367253,240,282,15.436912362994917,
826-822,fine128,False,quality_flag,True,0.0001333509724602807,0.019546484650293502,0.019413133677833223,1449,987,462,0.01474554660200524,-0.09268544481315572,256,282,44.54662029800238,
1240-1239,dense256,False,quality_flag,True,0.0010802333480728048,0.0012388730087935335,0.0001586396607207287,884,949,-65,-0.00013599676769959074,-0.012303582038138822,132,237,109.36373931499838,
1240-1239,fine128,False,quality_flag,True,0.0010802333480728048,0.001721314921773808,0.0006410815737010031,894,948,-54,-0.00013006949239016577,-0.01307084927141699,136,237,87.73610481299693,
22-23,dense256,False,quality_flag,True,0.002621524858463039,0.0021171021476204506,-0.0005044227108425884,539,550,-11,-6.646678318421653e-05,-0.028449008431084506,92,140,4.43774961699819,
22-23,fine128,False,quality_flag,True,0.002621524858463039,-0.004610232874520981,-0.007231757732984021,465,554,-89,-0.022427866039518976,-0.3188692297966253,117,140,44.81548501000361,
16-17,dense256,False,quality_flag,True,0.004804302123553099,0.004569535520020005,-0.00023476660353309413,574,621,-47,-0.00039653157747966683,-0.029053522195047213,78,157,4.805003168999974,
16-17,fine128,False,quality_flag,True,0.004804302123553099,0.0032828538124455523,-0.0015214483111075467,596,605,-9,-0.0014301293752512767,-0.421063695777893,138,157,27.390079144999618,
1214-1212,dense256,False,quality_flag,True,0.014290121026146135,0.01429371435213141,3.593325985274884e-06,481,510,-29,-5.661895341908807e-07,-0.00021991258822981474,54,278,288.9849313079976,
1214-1212,fine128,False,quality_flag,True,0.014290121026146135,0.014291745103098271,1.6240769521360526e-06,462,480,-18,-1.8281937090407208e-06,-0.000214331960414621,51,278,137.1747012019987,
1044-1042,dense256,False,quality_flag,True,0.015378291050438165,0.015390723297431928,1.2432246993763704e-05,1006,935,71,8.655932215342887e-06,-0.007031415268977086,142,295,619.7224805029982,
1044-1042,fine128,False,quality_flag,True,0.015378291050438165,0.015304259702005916,-7.403134843224878e-05,944,906,38,8.930588322388945e-06,-0.004720952625111925,129,295,12.338180603997898,
1132-1130,dense256,True,,False,0.015479269898009691,0.016474967900889932,0.000995698002880241,1442,918,524,0.0026696020383430996,-0.01916324937887344,104,145,173.39929436900275,
1132-1130,fine128,True,,False,0.015479269898009691,0.01689813368193233,0.001418863783922638,1484,883,601,0.0035303393463001456,-0.020934044508974785,86,145,256.1941495889987,
229-230,dense256,False,quality_flag,True,0.028154747422011215,0.028162015411551066,7.2679895398511385e-06,188,179,9,0.0,-0.00012025141874538476,14,286,280.08593116200063,
229-230,fine128,False,quality_flag,True,0.028154747422011215,0.030376518953890312,0.002221771531879097,1262,1208,54,0.0009432638551503461,-0.08310785235149382,200,286,51.7554633740001,
15-16,dense256,False,quality_flag,True,0.049900680793235924,0.04968734931076547,-0.00021333148247045658,1064,1098,-34,-0.00013203699270233557,-0.033202317031613346,143,262,6.192133274002117,
15-16,fine128,False,quality_flag,True,0.049900680793235924,0.033178475154675535,-0.01672220563856039,1038,1126,-88,-0.009867703962588171,-0.40820497680457907,224,262,53.31718484599696,
705-702,dense256,True,,False,0.06463553193728651,0.13284713665054856,0.06821160471326206,1786,678,1108,0.04675543164485246,-0.071398525290736,262,280,58.969911491003586,
705-702,fine128,False,quality_flag,True,0.06463553193728651,0.12348541579717255,0.05884988385988604,1699,751,948,0.03583835718491283,-0.08503896927983025,257,280,88.78008160199533,
895-893,dense256,True,,False,0.0762679901777728,0.07776502808882825,0.001497037911055446,1539,907,632,0.0029408503546086984,-0.01901639544949633,154,206,232.65586098600033,
895-893,fine128,True,,False,0.0762679901777728,0.07689555155196742,0.0006275613741946184,1165,1283,-118,-0.0007322500117013936,-0.05129009381972025,99,206,175.11768235999625,
792-791,dense256,True,,False,0.07726497861480457,0.08541693060780013,0.008151951992995565,1169,975,194,0.004967983304444441,-0.15938053733274057,131,158,90.34121035400312,
792-791,fine128,True,,False,0.07726497861480457,0.09042277747270705,0.013157798857902483,1386,762,624,0.016223000704213862,-0.10584142651128303,132,158,264.4249966770003,
974-972,dense256,False,quality_flag,True,0.09275737176812338,0.09261827775768085,-0.00013909401044252812,910,968,-58,-1.1323538912123843e-05,-0.005988892137851812,138,314,287.51146772500215,
974-972,fine128,False,quality_flag,True,0.09275737176812338,0.07204970501285814,-0.02070766675526524,1054,1391,-337,-0.008903133078057296,-0.1068914786870955,265,314,69.91996145099984,
975-974,dense256,True,,False,0.09335365957853049,0.11167255196858199,0.018318892390051494,1451,553,898,0.014682059461185393,-0.034262591811735056,23,27,62.53034913400188,
975-974,fine128,True,,False,0.09335365957853049,0.1228907225709923,0.02953706299246181,1692,311,1381,0.02915403686539267,-0.011916511509238857,24,27,614.5406654649996,
680-679,dense256,True,,False,0.09833068550359798,0.10670120987988789,0.008370524376289906,1744,660,1084,0.014592284990760873,-0.027674132845639455,120,141,87.41236211499927,
680-679,fine128,True,,False,0.09833068550359798,0.1151894776455957,0.016858792141997717,2244,161,2083,0.03261861186071491,-0.0018139350241597545,140,141,729.7539206660003,
954-953,dense256,True,,False,0.10151991876526291,0.113213916124204,0.011693997358941097,1769,540,1229,0.022259909638021713,-0.036874793901838086,108,120,105.44158278100076,
954-953,fine128,True,,False,0.10151991876526291,0.11673386023565646,0.015213941470393552,2057,254,1803,0.04425101649214311,-0.009073758988942459,116,120,650.8397730970028,
1144-1142,dense256,True,,False,0.10177629336980613,0.10317643517122094,0.0014001418014148032,1402,1092,310,0.001100601915440022,-0.015888255733734882,143,223,89.4219888650041,
1144-1142,fine128,True,,False,0.10177629336980613,0.10177457493963399,-1.7184301721456796e-06,1236,1266,-30,-0.0002290575574365461,-0.022107223405844246,142,223,85.24385543300014,
1-2,dense256,True,,False,0.1250062766962831,0.6857012894174709,0.5606950127211878,1901,38,1863,0.646367844178273,0.04632779276313599,167,168,69.52899014500144,
1-2,fine128,True,,False,0.1250062766962831,0.6877013754535279,0.5626950987572449,1918,23,1895,0.6484980670411365,0.059702884687659885,167,168,187.67702529099915,
1175-1174,dense256,True,,False,0.1256536419118977,0.1257957937568269,0.0001421518449291892,1363,1101,262,0.0005021196225378777,-0.0063267173695167045,108,169,7.320884821005166,
1175-1174,fine128,True,,False,0.1256536419118977,0.1260929146961987,0.0004392727843010036,1674,790,884,0.0028176420919666656,-0.0069279281094358535,143,169,245.97617265699955,
